

<document id="2491824">
<head>
<caption>कारगिल खरीद पर नया हलफनामा देगी सरकार फनॅडिस को क्लीन चिट नहीं दी अंबिका अमर उजाला ब्यूरो/एजेंसियां नई दिल्ली.</caption>
<language>Hindi </language>
<domain_name>News Articles </domain_name>
<word_count>661</word_count>
<byte_count>79588</byte_count>
<availability>
<format>CML/SSF</format>
<sentence_marker>.</sentence_marker>
<normalization>No</normalization>
</availability>
<encoding_description>
<original_encoding>ISO 8859</original_encoding>
<new_encoding>Unicode UTF8</new_encoding>
</encoding_description>
<distributor>LTRC, IIIT Hyderabad</distributor>
<project_description>NSF Hindi/Urdu Dependency Treebanking Project</project_description>
<creation>
<raw_corpus creation_date="" institute_name="IIIT Hyderabad"></raw_corpus>
<annotated_corpus creation_date="06/01/2009" institute_name="IIIT Hyderabad"></annotated_corpus>
<edition_number>1.0</edition_number>
</creation>
<publication>
<place>New Delhi</place>
<date>1/6/2004</date>
<type>Newspaper</type>
<publisher>
<name>Amar Ujala</name>
<url>http://www.amarujala.com</url>
</publisher>
</publication>

</head>
<body>
<tb number="1" segment="no" bullet="no">
<foreign language="select" writingsystem="LTR"></foreign>
<text>
<Sentence id="1">
1	कारगिल	NNPC	<fs af='कारगिल,n,m,sg,3,d,0,0' posn='10' drel='pof__cn:प्रकरण' chunkType='child:NP' name='कारगिल' acrefMod='m1%0:i48'>
2	खरीद	NNPC	<fs af='खरीद,n,f,sg,3,d,0,0' posn='20' drel='pof__cn:प्रकरण' chunkType='child:NP' name='खरीद' acrefMod='m1%0:i48'>
3	प्रकरण	NNP	<fs af='प्रकरण,n,m,sg,3,o,0_का,0' drel='r6:मसले' posn='30' vpos='vib_4' name='प्रकरण' chunkId='NP' chunkType='head:NP' acrefMod='m1%1:i48' acrefModHead='प्रकरण:m1'>
4	के	PSP	<fs af='का,psp,m,sg,,o,,' posn='40' drel='lwg__psp:प्रकरण' chunkType='child:NP' name='के'>
5	मसले	NN	<fs af='मसला,n,m,sg,3,o,0_पर,0' drel='k7:कराने' posn='50' vpos='vib_2' name='मसले' chunkId='NP2' chunkType='head:NP2' cref='i48%1:t14' crefHead='मसले:i48' crefMod='m1:i48' crefType='part-of:i48'>
6	पर	PSP	<fs af='पर,psp,,,,,,' posn='60' drel='lwg__psp:मसले' chunkType='child:NP2' name='पर'>
7	सुप्रीम	NNPC	<fs af='सुप्रीम,adj,any,any,,o,,' posn='100' drel='pof__cn:कोर्ट' chunkType='child:NP3' name='सुप्रीम'>
8	कोर्ट	NNP	<fs af='कोर्ट,n,m,sg,3,o,0_में,0' drel='k7p:कराने' posn='80' vpos='vib_3' name='कोर्ट' chunkId='NP3' chunkType='head:NP3'>
9	में	PSP	<fs af='में,psp,,,,,,' posn='90' drel='lwg__psp:कोर्ट' chunkType='child:NP3' name='में'>
10	पेश	JJ	<fs af='पेश,adj,any,any,,o,,' drel='nmod:हलफनामे' posn='100' name='पेश' chunkId='JJP' chunkType='head:JJP'>
