

<document id="2491782">
<head>
<caption>दुर्लभ जनजातियों की सूचना मिलना बाकी राहत कार्यो पर चीनी विदेशमंत्री ने नटवर से बात की नई दिल्ली.</caption>
<language>Hindi </language>
<domain_name>News Articles </domain_name>
<word_count>396</word_count>
<byte_count>47748</byte_count>
<availability>
<format>CML/SSF</format>
<sentence_marker>.</sentence_marker>
<normalization>No</normalization>
</availability>
<encoding_description>
<original_encoding>ISO 8859</original_encoding>
<new_encoding>Unicode UTF8</new_encoding>
</encoding_description>
<distributor>LTRC, IIIT Hyderabad</distributor>
<project_description>NSF Hindi/Urdu Dependency Treebanking Project</project_description>
<creation>
<raw_corpus creation_date="" institute_name="IIIT Hyderabad"></raw_corpus>
<annotated_corpus creation_date="06/01/2009" institute_name="IIIT Hyderabad"></annotated_corpus>
<edition_number>1.0</edition_number>
</creation>
<publication>
<place>New Delhi</place>
<date>31/5/2004</date>
<type>Newspaper</type>
<publisher>
<name>Amar Ujala</name>
<url>http://www.amarujala.com</url>
</publisher>
</publication>

</head>
<body>
<tb number="1" segment="no" bullet="no">
<foreign language="select" writingsystem="LTR"></foreign>
<text>
<Sentence id="1">
1	अंडमान	NNPC	<fs af='अंडमान,n,m,sg,3,d,0,0' posn='10' drel='pof__cn:समूह' chunkType='child:NP' name='अंडमान' cref='i1%0:t1'>
2	निकोबार	NNPC	<fs af='निकोबार,n,m,sg,3,d,0,0' posn='20' drel='pof__cn:समूह' chunkType='child:NP' name='निकोबार' cref='i1%0:t1'>
3	द्वीप	NNPC	<fs af='द्वीप,n,m,sg,3,d,0,0' posn='30' drel='pof__cn:समूह' chunkType='child:NP' name='द्वीप' cref='i1%0:t1'>
4	समूह	NNP	<fs af='समूह,n,m,sg,3,o,0_में,0' drel='k7p:कराने' posn='40' vpos='vib_5' name='समूह' chunkId='NP' chunkType='head:NP' cref='i1%1:t1' crefHead='समूह:i1' crefType='part-of:i1'>
5	में	PSP	<fs af='में,psp,,,,,,' posn='50' drel='lwg__psp:समूह' chunkType='child:NP' name='में'>
6	कई	QF	<fs af='कई,avy,,,,,,' posn='60' drel='nmod__adj:इलाकों' chunkType='child:NP2' name='कई'>
7	इलाकों	NN	<fs af='इलाका,n,m,pl,3,o,0_का,0' drel='r6-k2:सर्वे' posn='70' vpos='vib_3' name='इलाकों' chunkId='NP2' chunkType='head:NP2'>
8	का	PSP	<fs af='का,psp,m,sg,,d,,' posn='80' drel='lwg__psp:इलाकों' chunkType='child:NP2' name='का'>
9	सर्वे	NN	<fs af='सर्वे,n,m,sg,3,d,0,0' drel='pof:कराने' posn='90' name='सर्वे' chunkId='NP3' chunkType='head:NP3'>
10	कराने	VM	<fs af='करा,v,any,sg,3,o,ना_के_बाद,nA' drel='k7t:लगा' posn='100' vpos='tam_2_3' name='कराने' chunkId='VGNN' chunkType='head:VGNN'>
