

<document id="2491784">
<head>
<caption>कांग्रेस मुसलिम सांप्रदायिकता को बढ़ावा दे रही है भाजपा नई दिल्ली.</caption>
<language>Hindi </language>
<domain_name>News Articles </domain_name>
<word_count>467</word_count>
<byte_count>56827</byte_count>
<availability>
<format>CML/SSF</format>
<sentence_marker>.</sentence_marker>
<normalization>No</normalization>
</availability>
<encoding_description>
<original_encoding>ISO 8859</original_encoding>
<new_encoding>Unicode UTF8</new_encoding>
</encoding_description>
<distributor>LTRC, IIIT Hyderabad</distributor>
<project_description>NSF Hindi/Urdu Dependency Treebanking Project</project_description>
<creation>
<raw_corpus creation_date="" institute_name="IIIT Hyderabad"></raw_corpus>
<annotated_corpus creation_date="06/01/2009" institute_name="IIIT Hyderabad"></annotated_corpus>
<edition_number>1.0</edition_number>
</creation>
<publication>
<place>New Delhi</place>
<date>31/5/2004</date>
<type>Newspaper</type>
<publisher>
<name>Amar Ujala</name>
<url>http://www.amarujala.com</url>
</publisher>
</publication>

</head>
<body>
<tb number="1" segment="no" bullet="no">
<foreign language="select" writingsystem="LTR"></foreign>
<text>
<Sentence id="1">
1	भारतीय	NNPC	<fs af='भारतीय,n,m,sg,3,d,0,0' posn='10' drel='pof__cn:पार्टी' chunkType='child:NP' name='भारतीय' cref='i1%0:t1'>
2	जनता	NNPC	<fs af='जनता,n,f,sg,3,d,0,0' posn='20' drel='pof__cn:पार्टी' chunkType='child:NP' name='जनता' cref='i1%0:t1'>
3	पार्टी	NNP	<fs af='पार्टी,n,f,sg,3,o,0_ने,0' drel='k1:लगाया' posn='30' vpos='vib_4' name='पार्टी' chunkId='NP' chunkType='head:NP' cref='i1%1:t1' crefHead='पार्टी:i1' crefType='part-of:i1'>
4	ने	PSP	<fs af='ने,psp,,,,,,' posn='40' drel='lwg__psp:पार्टी' chunkType='child:NP' name='ने'>
5	कांग्रेस	NNP	<fs af='कांग्रेस,n,f,sg,3,o,0_पर,0' drel='k7p:लगाया' posn='50' vpos='vib_2' name='कांग्रेस' chunkId='NP2' chunkType='head:NP2' cref='i10%1:t2' crefHead='कांग्रेस:i10' crefType='part-of:i10'>
6	पर	PSP	<fs af='पर,psp,,,,,,' posn='60' drel='lwg__psp:कांग्रेस' chunkType='child:NP2' name='पर'>
7	मुस्लिम	JJ	<fs af='मुस्लिम,adj,any,any,,o,,' posn='70' drel='nmod__adj:सांप्रदायिकता' chunkType='child:NP3' name='मुस्लिम'>
8	सांप्रदायिकता	NN	<fs af='सांप्रदायिकता,n,f,sg,3,o,0_को,0' drel='k4:देने' posn='80' vpos='vib_3' name='सांप्रदायिकता' chunkId='NP3' chunkType='head:NP3'>
9	को	PSP	<fs af='को,psp,,,,,,' posn='90' drel='lwg__psp:सांप्रदायिकता' chunkType='child:NP3' name='को'>
10	बढ़ावा	NN	<fs af='बढावा,n,m,sg,3,d,0,0' drel='k2:देने' posn='100' name='बढ़ावा' chunkId='NP4' chunkType='head:NP4'>
11	देने	VM	<fs af='दे,v,any,sg,any,o,ना_का,nA' drel='r6-k2:आरोप' posn='110' vpos='tam_2' name='देने' chunkId='VGNN' chunkType='head:VGNN'>
12	का	PSP	<fs af='का,psp,m,sg,,d,,' posn='120' drel='lwg__psp:देने' chunkType='child:VGNN' name='का'>
13	आरोप	NN	<fs af='आरोप,n,m,sg,3,d,0,0' drel='pof:लगाया' posn='130' name='आरोप' chunkId='NP5' chunkType='head:NP5'>
14	लगाया	VM	<fs af='लगा,v,m,sg,3,,या_है,yA' stype='declarative' posn='140' voicetype='active' vpos='tam_2' name='लगाया' chunkId='VGF' chunkType='head:VGF'>
15	है	VAUX	<fs af='है,v,any,sg,3,,है,hE' posn='150' drel='lwg__vaux:लगाया' chunkType='child:VGF' name='है'>
16	.	SYM	<fs af='.,punc,,,,,,' drel='rsym:लगाया' posn='160' name='.' chunkId='BLK' chunkType='head:BLK'>
</Sentence>


<Sentence id="2">
