

<document id="2491788">
<head>
<caption>पुनर्वास और राहत में कोई कसर नहीं छोड़ेंगेः मनमोहन तमिलनाडु के लिए ढाई सौ करोड़ एजेंसियां करुंगापल्ली (केरल)/ विजयवाड़ा.</caption>
<language>Hindi </language>
<domain_name>News Articles </domain_name>
<word_count>501</word_count>
<byte_count>62094</byte_count>
<availability>
<format>CML/SSF</format>
<sentence_marker>.</sentence_marker>
<normalization>No</normalization>
</availability>
<encoding_description>
<original_encoding>ISO 8859</original_encoding>
<new_encoding>Unicode UTF8</new_encoding>
</encoding_description>
<distributor>LTRC, IIIT Hyderabad</distributor>
<project_description>NSF Hindi/Urdu Dependency Treebanking Project</project_description>
<creation>
<raw_corpus creation_date="" institute_name="IIIT Hyderabad"></raw_corpus>
<annotated_corpus creation_date="06/01/2009" institute_name="IIIT Hyderabad"></annotated_corpus>
<edition_number>1.0</edition_number>
</creation>
<publication>
<place>New Delhi</place>
<date>31/5/2004</date>
<type>Newspaper</type>
<publisher>
<name>Amar Ujala</name>
<url>http://www.amarujala.com</url>
</publisher>
</publication>

</head>
<body>
<tb number="1" segment="no" bullet="no">
<foreign language="select" writingsystem="LTR"></foreign>
<text>
<Sentence id="1">
1	तमिलनाडु	NNP	<fs af='तमिलनाडु,n,m,sg,3,o,0,0' drel='ccof:और' posn='10' name='तमिलनाडु' chunkId='NP' chunkType='head:NP' cref='i1%1:t1' crefHead='तमिलनाडु:i1' crefType='part-of:i1'>
2	और	CC	<fs af='और,avy,,,,,,' drel='r6:सुनामी' posn='20' name='और' chunkId='CCP' chunkType='head:CCP'>
3	केरल	NNP	<fs af='केरल,n,m,sg,3,o,0_का,0' drel='ccof:और' posn='30' vpos='vib_2' name='केरल' chunkId='NP2' chunkType='head:NP2' cref='i6%1:t2' crefHead='केरल:i6' crefType='part-of:i6'>
4	के	PSP	<fs af='का,psp,m,pl,,o,,' posn='40' drel='lwg__psp:केरल' chunkType='child:NP2' name='के'>
5	सुनामी	NN	<fs af='सुनामी,n,f,sg,3,d,0,0' drel='jjmod:प्रभावित' posn='50' name='सुनामी' chunkId='NP3' chunkType='head:NP3' cref='i35%1:t9' crefHead='सुनामी:i35' crefType='part-of:i35'>
6	प्रभावित	JJ	<fs af='प्रभावित,adj,any,any,,o,,' drel='nmod:इलाकों' posn='60' name='प्रभावित' chunkId='JJP' chunkType='head:JJP'>
7	इलाकों	NN	<fs af='इलाका,n,m,pl,3,o,0_का,0' drel='r6-k2:दौरा' posn='70' vpos='vib_2' name='इलाकों' chunkId='NP4' chunkType='head:NP4'>
8	का	PSP	<fs af='का,psp,m,sg,,d,,' posn='80' drel='lwg__psp:इलाकों' chunkType='child:NP4' name='का'>
9	दौरा	NN	<fs af='दौरा,n,m,sg,3,d,0,0' drel='pof:करने' posn='90' name='दौरा' chunkId='NP5' chunkType='head:NP5'>
10	करने	VM	<fs af='कर,v,any,sg,3,o,ना_के_बाद,nA' drel='k7t:कहा' posn='100' vpos='tam_2_3' name='करने' chunkId='VGNN' chunkType='head:VGNN'>
