

<document id="2491821">
<head>
<caption>उमा पर से मामला हटाने का लिखित अनुरोध दें कोर्ट धरम सरकार के रुख से लालू खफा एजेंसियां हुबली/पटना.</caption>
<language>Hindi </language>
<domain_name>News Articles </domain_name>
<word_count>367</word_count>
<byte_count>45332</byte_count>
<availability>
<format>CML/SSF</format>
<sentence_marker>.</sentence_marker>
<normalization>No</normalization>
</availability>
<encoding_description>
<original_encoding>ISO 8859</original_encoding>
<new_encoding>Unicode UTF8</new_encoding>
</encoding_description>
<distributor>LTRC, IIIT Hyderabad</distributor>
<project_description>NSF Hindi/Urdu Dependency Treebanking Project</project_description>
<creation>
<raw_corpus creation_date="" institute_name="IIIT Hyderabad"></raw_corpus>
<annotated_corpus creation_date="06/01/2009" institute_name="IIIT Hyderabad"></annotated_corpus>
<edition_number>1.0</edition_number>
</creation>
<publication>
<place>New Delhi</place>
<date>1/6/2004</date>
<type>Newspaper</type>
<publisher>
<name>Amar Ujala</name>
<url>http://www.amarujala.com</url>
</publisher>
</publication>

</head>
<body>
<tb number="1" segment="no" bullet="no">
<foreign language="select" writingsystem="LTR"></foreign>
<text>
<Sentence id="1">
1	उमा	NNPC	<fs af='उमा,n,f,sg,3,d,0,0' posn='10' drel='pof__cn:भारती' chunkType='child:NP' name='उमा' cref='i1%0:t1'>
2	भारती	NNP	<fs af='भारती,n,any,sg,3,o,0_के_ऊपर,0' drel='k7:लगा' posn='20' vpos='vib_3_4' name='भारती' chunkId='NP' chunkType='head:NP' cref='i1%1:t1' crefHead='भारती:i1' crefType='part-of:i1'>
3	के	PSP	<fs af='के,psp,,,,,,' posn='30' drel='lwg__psp:भारती' chunkType='child:NP' name='के'>
4	ऊपर	NST	<fs af='ऊपर,nst,m,sg,3,d,,' posn='40' drel='lwg__psp:भारती' chunkType='child:NP' name='ऊपर'>
5	१०	QC	<fs af='१०,num,any,any,,any,,' posn='50' drel='nmod__adj:साल' chunkType='child:NP2' name='१०'>
6	साल	NN	<fs af='साल,n,m,pl,3,d,0_पहले,0' drel='k7t:लगा' posn='60' vpos='vib_3' name='साल' chunkId='NP2' chunkType='head:NP2'>
7	पहले	NST	<fs af='पहले,nst,m,sg,3,d,,' posn='70' drel='lwg__psp:साल' chunkType='child:NP2' name='पहले'>
8	लगा	VM	<fs af='लग,v,m,sg,3,,या,yA' drel='nmod__k1inv:मामला' posn='80' name='लगा' chunkId='VGNF' chunkType='head:VGNF'>
9	हत्या	NN	<fs af='हत्या,n,f,sg,3,o,0_का,0' drel='r6:प्रयास' posn='90' vpos='vib_2' name='हत्या' chunkId='NP3' chunkType='head:NP3'>
10	के	PSP	<fs af='का,psp,m,sg,,o,,' posn='100' drel='lwg__psp:हत्या' chunkType='child:NP3' name='के2'>
11	प्रयास	NN	<fs af='प्रयास,n,m,sg,3,o,0,0' drel='ccof:व' posn='110' name='प्रयास' chunkId='NP4' chunkType='head:NP4'>
12	व	CC	<fs af='व,avy,,,,,,' drel='r6:मामला' posn='120' name='व' chunkId='CCP' chunkType='head:CCP'>
13	दंगे	NN	<fs af='दंगा,n,m,sg,3,o,0_का,0' drel='ccof:व' posn='130' vpos='vib_2' name='दंगे' chunkId='NP5' chunkType='head:NP5'>
14	का	PSP	<fs af='का,psp,m,sg,,d,,' posn='140' drel='lwg__psp:दंगे' chunkType='child:NP5' name='का'>
15	मामला	NN	<fs af='मामला,n,m,sg,3,d,0,0' drel='k2:हटाने' posn='150' name='मामला' chunkId='NP6' chunkType='head:NP6'>
16	हटाने	VM	<fs af='हटा,v,any,any,any,o,ना_के_लिए,nA' drel='rt:मांगा' posn='160' vpos='tam_2_3' name='हटाने' chunkId='VGNN' chunkType='head:VGNN'>
17	के	PSP	<fs af='के,psp,,,,,,' posn='170' drel='lwg__psp:हटाने' chunkType='child:VGNN' name='के3'>
18	लिए	PSP	<fs af='लिए,psp,,,,,,' posn='180' drel='lwg__psp:हटाने' chunkType='child:VGNN' name='लिए'>
