

<document id="2491780">
<head>
<caption>जिन्ना पर बयान, गलत लिया गया आतंकवाद के खतरे पर गंभीर नहीं है यूपीए एजेंसियां मुंबई.</caption>
<language>Hindi </language>
<domain_name>News Articles </domain_name>
<word_count>359</word_count>
<byte_count>44561</byte_count>
<availability>
<format>CML/SSF</format>
<sentence_marker>.</sentence_marker>
<normalization>No</normalization>
</availability>
<encoding_description>
<original_encoding>ISO 8859</original_encoding>
<new_encoding>Unicode UTF8</new_encoding>
</encoding_description>
<distributor>LTRC, IIIT Hyderabad</distributor>
<project_description>NSF Hindi/Urdu Dependency Treebanking Project</project_description>
<creation>
<raw_corpus creation_date="" institute_name="IIIT Hyderabad"></raw_corpus>
<annotated_corpus creation_date="06/01/2009" institute_name="IIIT Hyderabad"></annotated_corpus>
<edition_number>1.0</edition_number>
</creation>
<publication>
<place>New Delhi</place>
<date>31/5/2004</date>
<type>Newspaper</type>
<publisher>
<name>Amar Ujala</name>
<url>http://www.amarujala.com</url>
</publisher>
</publication>

</head>
<body>
<tb number="1" segment="no" bullet="no">
<foreign language="select" writingsystem="LTR"></foreign>
<text>
<Sentence id="1">
1	भारतीय	NNPC	<fs af='भारतीय,adj,any,any,,d,,' posn='10' drel='pof__cn:पार्टी' chunkType='child:NP' name='भारतीय' cref='i1%0:t1'>
2	जनता	NNPC	<fs af='जनता,n,f,sg,3,d,0,0' posn='20' drel='pof__cn:पार्टी' chunkType='child:NP' name='जनता' cref='i1%0:t1'>
3	पार्टी	NNP	<fs af='पार्टी,n,f,sg,3,o,0,0' drel='r6:अध्यक्ष' posn='30' name='पार्टी' chunkId='NP' chunkType='head:NP' cref='i1%1:t1' crefHead='पार्टी:i1' crefType='part-of:i1'>
4	(	SYM	<fs af='(,punc,,,,,,' posn='40' drel='rsym:भाजपा' chunkType='child:NP2' name='('>
5	भाजपा	NNP	<fs af='भाजपा,n,m,sg,3,o,0,0' drel='rs:पार्टी' posn='50' name='भाजपा' chunkId='NP2' chunkType='head:NP2' cref='i2%1:t1' crefHead='भाजपा:i2' acrefMod='m1%1:i19' acrefModHead='भाजपा:m1' crefType='part-of:i1'>
6	)	SYM	<fs af='),punc,,,,,,' posn='60' drel='rsym:भाजपा' chunkType='child:NP2' name=')'>
7	के	PSP	<fs drel='fragof:पार्टी' name='के' chunkId='FRAGP' chunkType='head:FRAGP'>
8	पूर्व	JJ	<fs af='पूर्व,adj,any,any,,o,,' posn='80' drel='nmod__adj:अध्यक्ष' chunkType='child:NP3' name='पूर्व' cref='i19%0:t2'>
9	अध्यक्ष	NN	<fs af='अध्यक्ष,n,m,sg,3,o,0,0' drel='nmod:आडवाणी' posn='90' name='अध्यक्ष' chunkId='NP3' chunkType='head:NP3' cref='i19%1:t2' crefHead='अध्यक्ष:i19' crefMod='m1:i19' crefType='part-of:i19'>
10	लाल	NNPC	<fs af='लाल,n,m,sg,3,d,0,0' posn='100' drel='pof__cn:आडवाणी' chunkType='child:NP4' name='लाल' cref='i4%0:t2'>
11	कृष्ण	NNPC	<fs af='कृष्ण,n,m,sg,3,d,0,0' posn='110' drel='pof__cn:आडवाणी' chunkType='child:NP4' name='कृष्ण' cref='i4%0:t2'>
12	आडवाणी	NNP	<fs af='आडवाणी,n,m,sg,3,o,0_ने,0' drel='k1:कहा' posn='120' vpos='vib_4' name='आडवाणी' chunkId='NP4' chunkType='head:NP4' cref='i4%1:t2' crefHead='आडवाणी:i4' crefType='part-of:i19'>
13	ने	PSP	<fs af='ने,psp,,,,,,' posn='130' drel='lwg__psp:आडवाणी' chunkType='child:NP4' name='ने'>
14	कहा	VM	<fs af='कह,v,m,sg,3,,या_है,yA' stype='declarative' posn='140' voicetype='active' vpos='tam_2' name='कहा' chunkId='VGF' chunkType='head:VGF'>
15	है	VAUX	<fs af='है,v,any,sg,3,,है,hE' posn='150' drel='lwg__vaux:कहा' chunkType='child:VGF' name='है'>
16	कि	CC	<fs af='कि,avy,,,,,,' drel='k2:कहा' posn='160' name='कि' chunkId='CCP' chunkType='head:CCP'>
17	मोहम्मद	NNPC	<fs af='मोहम्मद,n,m,sg,3,d,0,0' posn='170' drel='pof__cn:जिन्ना' chunkType='child:NP5' name='मोहम्मद' cref='i6%0:t3'>
18	अली	NNPC	<fs af='अली,n,m,sg,3,d,0,0' posn='180' drel='pof__cn:जिन्ना' chunkType='child:NP5' name='अली' cref='i6%0:t3'>
